case,activity,timestamp,enabled_activities
1,a,2019-01-01T13:00:00+00:00,a
1,b,2019-01-01T13:01:00+00:00,"b, g"
1,f,2019-01-01T13:02:00+00:00,f
2,a,2019-01-01T13:00:00+00:00,a
2,b,2019-01-01T13:01:00+00:00,"b, g"
2,f,2019-01-01T13:02:00+00:00,f
3,a,2019-01-01T13:00:00+00:00,a
3,b,2019-01-01T13:01:00+00:00,"b, g"
3,f,2019-01-01T13:02:00+00:00,f
4,a,2019-01-01T13:00:00+00:00,a
4,b,2019-01-01T13:01:00+00:00,"b, g"
4,f,2019-01-01T13:02:00+00:00,f
5,a,2019-01-01T13:00:00+00:00,a
5,b,2019-01-01T13:01:00+00:00,"b, g"
5,f,2019-01-01T13:02:00+00:00,f
6,a,2019-01-01T13:00:00+00:00,a
6,b,2019-01-01T13:01:00+00:00,"b, g"
6,f,2019-01-01T13:02:00+00:00,f
7,a,2019-01-01T13:00:00+00:00,a
7,b,2019-01-01T13:01:00+00:00,"b, g"
7,f,2019-01-01T13:02:00+00:00,f
8,a,2019-01-01T13:00:00+00:00,a
8,b,2019-01-01T13:01:00+00:00,"b, g"
8,f,2019-01-01T13:02:00+00:00,f
9,a,2019-01-01T13:00:00+00:00,a
9,b,2019-01-01T13:01:00+00:00,"b, g"
9,f,2019-01-01T13:02:00+00:00,f
10,a,2019-01-01T13:00:00+00:00,a
10,b,2019-01-01T13:01:00+00:00,"b, g"
10,f,2019-01-01T13:02:00+00:00,f
11,a,2019-01-01T13:00:00+00:00,a
11,b,2019-01-01T13:01:00+00:00,"b, g"
11,f,2019-01-01T13:02:00+00:00,f
12,a,2019-01-01T13:00:00+00:00,a
12,b,2019-01-01T13:01:00+00:00,"b, g"
12,f,2019-01-01T13:02:00+00:00,f
13,a,2019-01-01T13:00:00+00:00,a
13,b,2019-01-01T13:01:00+00:00,"b, g"
13,f,2019-01-01T13:02:00+00:00,f
14,a,2019-01-01T13:00:00+00:00,a
14,b,2019-01-01T13:01:00+00:00,"b, g"
14,f,2019-01-01T13:02:00+00:00,f
15,a,2019-01-01T13:00:00+00:00,a
15,b,2019-01-01T13:01:00+00:00,"b, g"
15,f,2019-01-01T13:02:00+00:00,f
16,a,2019-01-01T13:00:00+00:00,a
16,b,2019-01-01T13:01:00+00:00,"b, g"
16,f,2019-01-01T13:02:00+00:00,f
17,a,2019-01-01T13:00:00+00:00,a
17,b,2019-01-01T13:01:00+00:00,"b, g"
17,f,2019-01-01T13:02:00+00:00,f
18,a,2019-01-01T13:00:00+00:00,a
18,b,2019-01-01T13:01:00+00:00,"b, g"
18,f,2019-01-01T13:02:00+00:00,f
19,a,2019-01-01T13:00:00+00:00,a
19,b,2019-01-01T13:01:00+00:00,"b, g"
19,f,2019-01-01T13:02:00+00:00,f
20,a,2019-01-01T13:00:00+00:00,a
