case,activity,timestamp,enabled_activities
1,a,2019-01-01T13:00:00+00:00,a
1,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
1,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
1,d,2019-01-01T13:03:00+00:00,"d, e, g"
1,e,2019-01-01T13:04:00+00:00,"e, g"
1,f,2019-01-01T13:05:00+00:00,"f, g"
2,a,2019-01-01T13:00:00+00:00,a
2,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
2,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
2,d,2019-01-01T13:03:00+00:00,"d, e, g"
2,e,2019-01-01T13:04:00+00:00,"e, g"
2,f,2019-01-01T13:05:00+00:00,"f, g"
3,a,2019-01-01T13:00:00+00:00,a
3,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
3,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
3,d,2019-01-01T13:03:00+00:00,"d, e, g"
3,e,2019-01-01T13:04:00+00:00,"e, g"
3,f,2019-01-01T13:05:00+00:00,"f, g"
4,a,2019-01-01T13:00:00+00:00,a
4,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
4,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
4,d,2019-01-01T13:03:00+00:00,"d, e, g"
4,e,2019-01-01T13:04:00+00:00,"e, g"
4,f,2019-01-01T13:05:00+00:00,"f, g"
5,a,2019-01-01T13:00:00+00:00,a
5,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
5,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
5,d,2019-01-01T13:03:00+00:00,"d, e, g"
5,e,2019-01-01T13:04:00+00:00,"e, g"
5,f,2019-01-01T13:05:00+00:00,"f, g"
6,a,2019-01-01T13:00:00+00:00,a
6,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
6,c,2019-01-01T13:02:00+00:00,"c, d, e, g"
6,d,2019-01-01T13:03:00+00:00,"d, e, g"
6,e,2019-01-01T13:04:00+00:00,"e, g"
6,f,2019-01-01T13:05:00+00:00,"f, g"
7,a,2019-01-01T13:00:00+00:00,a
7,b,2019-01-01T13:01:00+00:00,"b, c, d, e, g"
